"PWSID","LAT","LON","SOURCE"
"AR0000727",35.49358327,-92.55029511,"PWS Shapefile Centroid"
"AR0000734",34.91423925,-91.90939355,"PWS Shapefile Centroid"
"AR0000738",34.47174915,-91.65758331,"PWS Shapefile Centroid"
"AR0000772",35.4423423,-93.37031829,"PWS Shapefile Centroid"
"AR0000773",35.12078521,-94.10667577,"PWS Shapefile Centroid"
"AR0000782",35.37285874,-92.99852504,"PWS Shapefile Centroid"
"AR0000787",33.68398276,-94.3623303,"PWS Shapefile Centroid"
"AR0000800",34.62033711,-92.39923446,"PWS Shapefile Centroid"
"AR0000805",33.98619578,-93.85368714,"PWS Shapefile Centroid"
"AR0000821",34.37051891,-93.35378819,"PWS Shapefile Centroid"
"AR0000867",34.64217111,-93.0925065,"PWS Shapefile Centroid"
"AR0000868",33.997486,-94.23952124,"PWS Shapefile Centroid"
"AZ0401004",34.1058346,-109.2957012,"PWS Shapefile Centroid"
"AZ0401012",34.50130599,-109.3776284,"PWS Shapefile Centroid"
"AZ0402004",31.53292058,-110.2785524,"PWS Shapefile Centroid"
"AZ0402005",31.88373126,-110.3009072,"PWS Shapefile Centroid"
"AZ0402010",31.56713102,-110.2465782,"PWS Shapefile Centroid"
"AZ0402014",31.34634591,-109.5383049,"PWS Shapefile Centroid"
"AZ0402035",32.25222051,-109.8361231,"PWS Shapefile Centroid"
"AZ0402044",31.51982806,-110.2518431,"PWS Shapefile Centroid"
"AZ0402078",31.56251262,-110.340526,"PWS Shapefile Centroid"
"AZ0403002",34.94295414,-111.6399692,"PWS Shapefile Centroid"
"AZ0403003",34.85064635,-111.7669497,"PWS Shapefile Centroid"
"AZ0403008",35.1867176,-111.617287,"PWS Shapefile Centroid"
"AZ0403013",35.09462103,-111.6928873,"PWS Shapefile Centroid"
"AZ0403017",36.90087181,-111.463408,"PWS Shapefile Centroid"
"AZ0403702",36.04529237,-112.1167773,"PWS Shapefile Centroid"
"AZ0403712",36.99487681,-111.4938133,"PWS Shapefile Centroid"
"AZ0404008",33.37897943,-110.7342964,"PWS Shapefile Centroid"
"AZ0404032",34.24474343,-111.3419426,"PWS Shapefile Centroid"
"AZ0404034",34.39059232,-111.4632695,"PWS Shapefile Centroid"
"AZ0405005",32.82214207,-109.6608761,"PWS Shapefile Centroid"
"AZ0407007",33.701324,-112.4476502,"PWS Shapefile Centroid"
"AZ0407015",33.82196809,-111.9101665,"PWS Shapefile Centroid"
"AZ0407017",33.6042499,-111.7430732,"PWS Shapefile Centroid"
"AZ0407025",33.57241992,-112.0877771,"PWS Shapefile Centroid"
"AZ0407026",33.81332392,-112.0600436,"PWS Shapefile Centroid"
"AZ0407033",33.24264188,-111.6153311,"PWS Shapefile Centroid"
"AZ0407046",33.49135161,-112.3768862,"PWS Shapefile Centroid"
