ZCTA,LAT,LON
99661,55.27363394,-160.6452447
99723,71.2746192,-156.7539721
99730,65.67806271,-145.540548
99768,65.38635697,-153.5382596
99769,63.68455423,-170.4473898
99826,58.42540233,-135.7734442
99515,61.11636344,-149.8920116
99573,61.60026147,-145.9244015
99649,57.52405139,-157.3796867
99737,63.62711096,-145.0753799
99755,63.59539139,-148.6887758
32073,30.16765283,-81.74067717
32082,30.12204965,-81.36262841
32084,29.90002907,-81.3661
32095,30.02360756,-81.45155075
32119,29.16768711,-81.006213
32169,28.98010161,-80.87233372
32234,30.20788268,-82.01092636
32258,30.13871687,-81.54935621
32324,30.65628803,-84.79131758
32356,29.8538461,-83.40017131
32407,30.2009129,-85.79294251
32428,30.66285147,-85.5146915
32514,30.53210658,-87.22235519
32564,30.72758207,-86.78750361
32609,29.76296078,-82.27978594
32702,29.030745,-81.59345475
32757,28.78542624,-81.633972
32809,28.4575926,-81.3901825
32909,27.90438156,-80.65514591
32958,27.79364009,-80.49136502
32968,27.58742589,-80.4648105
33032,25.52948203,-80.4153255
33147,25.85104076,-80.23862375
33301,26.12281116,-80.1271335
99820,57.52695463,-134.250522
99919,55.64942152,-132.5029441
99925,55.55396886,-132.9627619
99725,64.86118768,-148.0239205
99589,59.21190312,-161.7018119
99630,60.37093401,-166.2662181
99638,53.01200492,-168.75513
99667,61.85445855,-151.8205294
99722,68.14208719,-145.4957035
99742,63.76237765,-171.7162292
99772,65.94817566,-165.8016226
99788,66.64627007,-143.7813345
99827,59.02588128,-135.8827376
99501,61.21518424,-149.8515535
99540,61.00020669,-149.3852021
99548,56.24617365,-158.7634535
99565,56.30427294,-158.5002398
99571,55.222196,-162.7484215
99611,60.7479315,-150.8894634
99645,61.56641689,-148.8862995
99656,61.89144102,-157.4402295
99671,63.48669083,-162.2289483
99681,60.60975726,-165.1052328
99703,64.83541002,-147.6260809
33438,26.98201604,-80.562556
33469,26.98167125,-80.107898
33538,28.89490728,-82.195452
33610,27.99614163,-82.3768435
33614,28.00618164,-82.50597127
33635,28.02415286,-82.61880338
33710,27.78980308,-82.73068229
33839,27.97479952,-81.75362474
33909,26.69649958,-81.93758675
33946,26.83095062,-82.2792
34120,26.31380591,-81.58343013
34201,27.40284485,-82.46780545
34292,27.10306054,-82.33498502
34446,28.74902761,-82.52346397
34498,29.03312781,-82.7430177
34698,28.03391656,-82.79359769
34746,28.24228445,-81.4422627
34972,27.49298617,-80.92630478
32081,30.12149139,-81.42090264
32087,30.36993107,-82.29742516
32096,30.36698564,-82.7273565
32131,29.67032555,-81.568166
32148,29.60086136,-81.88191284
32222,30.21650758,-81.82930755
32060,30.26992124,-83.141628
32066,30.04424835,-83.2249645
32080,29.8602693,-81.283666
32092,29.92852681,-81.52213568
32094,30.24299774,-82.793705
32205,30.30606125,-81.7236555
32331,30.4582137,-83.62987224
32430,30.41871773,-85.22560325
32565,30.87174697,-87.2119955
32656,29.80250914,-81.9683
32683,29.29519885,-82.76743476
32764,28.82037168,-81.02182125
32831,28.47439696,-81.14733671
32926,28.39050332,-80.81771651
33021,26.02272555,-80.18744179
33070,25.00616551,-80.522996
33162,25.92834068,-80.17823971
33314,26.06821289,-80.22395316
33470,26.78320845,-80.38063225
33527,27.97570734,-82.21378446
33584,28.00636161,-82.28956314
33634,28.00774619,-82.54614008
33705,27.72613923,-82.6402465
33850,28.11885991,-81.73192587
32328,29.71742594,-84.8430595
32333,30.60676371,-84.41252359
32343,30.48514736,-84.47653166
32456,29.74117768,-85.282505
32459,30.36337139,-86.18484356
32566,30.42520385,-86.88413513
32618,29.53752775,-82.52303713
32725,28.8837,-81.25057379
32765,28.66732273,-81.20030545
32778,28.77553159,-81.72885108
32953,28.4561484,-80.6991555
33142,25.81275664,-80.23860925
33187,25.53480477,-80.609676
33305,26.15342612,-80.13462275
33316,26.10152793,-80.12071634
33327,26.24428885,-80.39270029
33415,26.66003171,-80.12741168
33461,26.6193602,-80.09047374
33572,27.76600917,-82.40020169
33755,27.97971208,-82.781761
33770,27.91471815,-82.80346211
33771,27.90559568,-82.75827464
33852,27.30246412,-81.356693
33952,26.98695105,-82.09726106
33867,27.78244895,-81.20132825
34102,26.13749643,-81.79775248
34110,26.29621288,-81.78513158
34239,27.310879,-82.52180059
34453,28.89274869,-82.33660348
34669,28.35769882,-82.61476842
34695,28.00471969,-82.69032355
34739,27.88189435,-81.1243395
34761,28.58038775,-81.53375085
32046,30.70251945,-81.91723366
