PWSID,LAT,LON,POP_SERVED,AREA_sqm
084690456,45.70778575,-97.3677195,95,482699.0877
084690457,45.68728325,-97.16147177,225,34566.85672
084690458,45.56533574,-97.06621332,1180,473802.6511
084690460,45.42969914,-97.306109,230,2149505.241
084690461,45.52308521,-96.93684433,145,41886.1294
084690463,45.88508759,-97.30141382,60,2597715.364
084690465,44.05942882,-96.59347062,380,44521.2659
084690466,43.26982849,-101.9198943,400,723229.0054
084690471,43.56555398,-101.657005,725,530301.395
084690474,43.42346116,-102.1795929,6526,3420354.808
084690475,43.02885717,-102.5519257,7482,4902082.323
084690478,43.14768622,-102.3724277,255,12548.55893
084690480,43.208381,-102.7870165,3562,232158.1359
084690481,43.26982849,-101.9198943,420,723229.0054
084690485,43.02403108,-102.5446224,316,217091.7133
084690498,43.07025031,-99.01948574,50,44623.72846
084690510,45.6560283,-100.531655,6839,678079.628
084690512,43.07672123,-102.5854059,501,210318.9121
084690516,43.47323174,-101.202422,5610,1320888.612
084690526,43.35925989,-99.82776065,129,288274.204
084690528,43.23424418,-100.8595233,5500,1481527.794
084690532,43.30035913,-100.6305808,1500,2757980.359
084690533,42.9953011,-98.42362504,420,533689.7781
084690535,43.10694903,-98.29005888,180,262322.5383
084690536,43.07493615,-98.29617145,200,75030.97393
084990002,40.46280955,-109.930594,3550,429992.0109
084990003,40.29715039,-109.8681592,812,1734937.881
084990004,37.46535698,-109.4672328,300,395399.2302
085690002,43.03207393,-108.7644457,1950,2133170.803
085690003,43.00067231,-108.9028735,3520,4711002.729
085690004,42.97102776,-108.4022116,3100,1030232.92
085690008,42.96420817,-108.4905936,650,48381.41338
090400001,31.811628,-111.8211404,1318,516695.589
090400003,32.74891884,-111.6739203,340,11085256.22
090400004,31.97950343,-111.650859,105,362086030.2
090400005,32.0820533,-111.2531344,64,364969.0915
090400008,32.38291932,-112.8756696,70,1482257.086
090400018,32.08533771,-111.256918,165,407639.9458
090400020,32.39463623,-112.8722835,830,924889.2004
090400027,32.64443094,-112.0265555,80,188241844.4
090400030,32.04017799,-112.3145461,472,645435.9562
090400034,32.57828139,-112.0030125,90,254051.324
090400036,32.11372281,-111.5417668,135,101222558.8
090400037,32.53827523,-112.1014067,150,14237598.82
090400040,31.91579617,-111.7994305,328,478482.136
090400042,31.91485017,-111.8627175,4000,5567562.948
090400047,32.97809578,-111.5282541,5307,13465880.08
090400049,34.0412516,-110.4956449,448,1298186.094
090400051,34.13980294,-114.2979417,9277,9225809.807
090400054,35.81164144,-110.193084,925,164924.4338
